year,playerID,name,gamesPlayed,scores,assists,goals,plusMinus,completions,completionPercentage,hockeyAssists,throwaways,stalls,drops,blocks,callahans,pulls,teams,pointsPlayed,oPointsPlayed,dPointsPlayed,minutesPlayed,possessions,oEfficiency,yardsTotal,yardsThrown,yardsReceived,hucksCompleted,huckPercentage
2012,dward,David Ward,7,0.86,0.43,0.43,0.71,6.14,89.58,0.0,0.71,0.0,0.14,0.71,0.0,0.0,ROC,,,,,,,,,,,
2012,npeppers,Nick Peppers,10,1.7,0.3,1.4,0.7,9.4,97.92,0.0,1.2,0.0,0.1,0.3,0.0,0.0,CIN,,,,,,,,,,,
2012,ldiorio,Luke DiOrio,9,1.33,0.44,0.89,0.67,6.0,90.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,RIR,,,,,,,,,,,
2012,pdreisbac,Pete Dreisbach,3,0.67,0.33,0.33,0.67,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CIN,,,,,,,,,,,
2012,sbrennan,Samuel Brennan,9,1.33,0.33,1.0,0.67,5.0,86.54,0.0,0.78,0.0,0.33,0.44,0.0,0.0,DET,,,,,,,,,,,
2012,thorvath,Thomas Horvath,6,0.67,0.0,0.67,0.67,2.67,,0.0,0.33,0.0,0.0,0.33,0.0,0.0,ROC,,,,,,,,,,,
2012,mjaffe,Matt Jaffe,8,0.88,0.5,0.38,0.63,4.88,88.64,0.0,0.63,0.0,0.25,0.63,0.0,0.0,PHS,,,,,,,,,,,
2012,bsever,Ben Sever,15,3.87,2.73,1.13,0.6,17.73,93.33,0.0,2.53,0.0,1.07,0.33,0.0,0.0,CIN,,,,,,,,,,,
2012,njudson,Nick Judson,5,1.4,0.2,1.2,0.6,10.8,85.71,0.0,1.8,0.0,0.4,1.4,0.0,0.0,CON,,,,,,,,,,,
2012,bpate,Brian Pate,7,0.71,0.43,0.29,0.57,10.29,90.0,0.0,1.14,0.0,0.0,1.0,0.0,0.0,CIN,,,,,,,,,,,
2012,abargende,Alex Bargende,4,0.75,0.25,0.5,0.5,6.25,89.29,0.0,0.75,0.0,0.25,0.75,0.0,0.0,RIR,,,,,,,,,,,
2012,dbutler,Daniel Butler,2,1.0,0.0,1.0,0.5,4.5,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,CLB,,,,,,,,,,,
2012,jrhyne,Jordan Rhyne,8,1.13,0.88,0.25,0.5,9.38,90.36,0.0,1.0,0.0,0.25,0.63,0.0,0.0,CLB,,,,,,,,,,,
2012,ksouser,Kevin Souser,2,1.0,0.0,1.0,0.5,13.5,90.0,0.0,1.5,0.0,0.5,1.5,0.0,0.0,DET,,,,,,,,,,,
2012,scrabtree,Scott Crabtree,4,0.5,0.25,0.25,0.5,1.75,,0.0,0.25,0.0,0.0,0.25,0.0,0.0,CIN,,,,,,,,,,,
2012,sreinhard,Seth Reinhardt,4,0.5,0.0,0.5,0.5,2.0,,0.0,0.25,0.0,0.0,0.25,0.0,0.0,RIR,,,,,,,,,,,
2012,srichards,Sam Richards,6,0.67,0.0,0.67,0.5,1.33,,0.0,0.17,0.0,0.0,0.0,0.0,0.0,RIR,,,,,,,,,,,
2012,dhochhalt,David Hochhalter,15,5.2,3.87,1.33,0.47,34.2,95.71,0.0,3.93,0.0,1.6,0.8,0.0,0.0,DET,,,,,,,,,,,
2012,tbrowarja,Teddy Browar-Jarus,14,2.79,2.14,0.64,0.43,14.79,86.25,0.0,2.36,0.0,0.64,0.64,0.0,0.0,RIR,,,,,,,,,,,
